Annotation	Gene-Symbol
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	FTH1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	IL1B
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	ITGAM
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	JUNB
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LGALS2
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LY6C1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LY6C2
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LYZ
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	MAF
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	MAFB
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	MPEG1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	NFKB1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	NFKBIA
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	NLRP3
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	NR4A1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	NR4A2
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	OSM
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	PTGS2
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	RGS2
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	SELL
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	THBS1
Classical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	VCAN
Classical-Tumor-Infiltrating-Monocyte-in-Human-FlowSort	CD14
Classical-Tumor-Infiltrating-Monocyte-in-Human-FlowSort	CCR2
Classical-Tumor-Infiltrating-Monocyte-in-Human-TF	CEBPD
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CX3CR1
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CCL5
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CD52
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CDH23
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CDKN1C
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	FCGR3A
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	FCGR3B
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	FCGR4
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	GNLY
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	GZMB
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	ICAM2
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	IFITM1
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	IL32
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	KLRC4
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	KLRK1
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LILRA3
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	LILRB1
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	MS4A7
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	MTSS1
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	PRF1
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	SLC44A2
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-FlowSort	FCGR3A
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-TF	CEBPD
Nonclassical-Tumor-Infiltrating-Monocyte-in-Human-TF	ZFP36L2
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CCL2
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CCL8
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CX3CR1
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	CXCL10
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	FCGR3A
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	IFITM2
Intermediate-Tumor-Infiltrating-Monocyte-in-Human-SingleCellSig	IL1RN
