term	name
Tumor_Derived_cDC-like	GPR183
Tumor_Derived_cDC-like	GRB2
Tumor_Derived_cDC-like	EPS8
Tumor_Derived_cDC-like	COTL1
Tumor_Derived_cDC-like	DHRS9
Tumor_Derived_cDC-like	HLA-DMB
Tumor_Derived_cDC-like	HLA-DMA
Tumor_Derived_cDC-like	PYCARD
Tumor_Derived_cDC-like	LOC644936
Tumor_Derived_cDC-like	SH3BGRL3
